name,team,position,sport
Eduardo Rodriguez,ARI,SP,MLB
Josh Bell,MIN,1B,MLB
J.P. Crawford,SEA,SS,MLB
Carlos Correa,HOU,3B,MLB
Ernie Clement,TOR,1B,MLB
Jordan Beck,COL,OF,MLB
Brendan Donovan,SEA,2B,MLB
Agustin Ramirez,MIA,C,MLB
Andres Gimenez,TOR,2B,MLB
Zebby Matthews,MIN,SP,MLB
Andrew Vaughn,MIL,1B,MLB
Colson Montgomery,CWS,3B,MLB
Jake Cronenworth,SD,1B,MLB
Daniel Palencia,CHC,RP,MLB
Foster Griffin,WSH,RP,MLB
Sal Frelick,MIL,OF,MLB
Cade Cavalli,WSH,SP,MLB
Ramon Laureano,SD,OF,MLB
Andre Pallante,STL,SP,MLB
Mickey Moniak,COL,OF,MLB
Nolan Arenado,ARI,3B,MLB
Ryan Weathers,NYY,SP,MLB
Braxton Garrett,MIA,SP,MLB
Will Warren,NYY,SP,MLB
Colton Cowser,BAL,OF,MLB
Tyler Mahle,SF,SP,MLB
Raisel Iglesias,ATL,RP,MLB
Kerry Carpenter,DET,OF,MLB
Willi Castro,COL,2B,MLB
Isaac Paredes,HOU,3B,MLB
Royce Lewis,MIN,3B,MLB
Lars Nootbaar,STL,OF,MLB
Simeon Woods Richardson,MIN,SP,MLB
Yainer Diaz,HOU,C,MLB
Carlos Estevez,KC,RP,MLB
Ryan Helsley,BAL,RP,MLB
Jeff McNeil,ATH,2B,MLB
Roki Sasaki,LAD,SP,MLB
Jordan Westburg,BAL,2B,MLB
Miles Mikolas,WSH,SP,MLB
Ryan O'Hearn,PIT,1B,MLB
Jackson Holliday,BAL,2B,MLB
Kodai Senga,NYM,SP,MLB
Max Meyer,MIA,SP,MLB
Steven Matz,TB,RP,MLB
Addison Barger,TOR,3B,MLB
Brad Lord,WSH,SP,MLB
Michael Lorenzen,COL,SP,MLB
Jonathan India,KC,2B,MLB
Sal Stewart,CIN,1B,MLB
Jeff Hoffman,TOR,RP,MLB
Landen Roupp,SF,SP,MLB
Parker Messick,CLE,SP,MLB
Joey Ortiz,MIL,SS,MLB
Emilio Pagan,CIN,RP,MLB
Josh Lowe,LAA,OF,MLB
Colt Keith,DET,1B,MLB
Jac Caglianone,KC,1B,MLB
Chandler Simpson,TB,OF,MLB
Pete Fairbanks,MIA,RP,MLB
Matt Wallner,MIN,OF,MLB
Shane Bieber,TOR,SP,MLB
Grant Holmes,ATL,SP,MLB
Chase Meidroth,CWS,2B,MLB
Ryan Walker,SF,RP,MLB
Brooks Lee,MIN,2B,MLB
Logan Henderson,MIL,SP,MLB
Alejandro Kirk,TOR,C,MLB
Max Muncy,LAD,3B,MLB
Ryan Jeffers,MIN,C,MLB
Victor Scott,STL,OF,MLB
Josh Jung,TEX,3B,MLB
Brandon Marsh,PHI,OF,MLB
Nolan Gorman,STL,2B,MLB
Dennis Santana,PIT,RP,MLB
Aaron Civale,ATH,SP,MLB
Josh Smith,TEX,1B,MLB
Spencer Horwitz,PIT,1B,MLB
Abner Uribe,MIL,RP,MLB
Andrew Benintendi,CWS,OF,MLB
Cedric Mullins II,TB,OF,MLB
Harrison Bader,SF,OF,MLB
Evan Carter,TEX,OF,MLB
Parker Meadows,DET,OF,MLB
Grant Taylor,CWS,RP,MLB
Jordan Walker,STL,OF,MLB
Jorge Soler,LAA,OF,MLB
Anthony Kay,CWS,SP,MLB
Anthony Volpe,NYY,SS,MLB
Kyle Leahy,STL,RP,MLB
Griffin Jax,TB,RP,MLB
Jose Quintana,COL,SP,MLB
Trevor Megill,MIL,RP,MLB
Jared Triolo,PIT,1B,MLB
Chris Paddack,MIA,SP,MLB
J.T. Realmuto,PHI,C,MLB
Wenceel Perez,DET,OF,MLB
Gabriel Moreno,ARI,C,MLB
Mark Vientos,NYM,3B,MLB
Logan Allen,CLE,SP,MLB
Chase DeLauter,CLE,OF,MLB
Johan Oviedo,BOS,SP,MLB
Bryce Elder,ATL,SP,MLB
Robert Garcia,TEX,RP,MLB
Kyle Teel,CWS,C,MLB
Austin Hays,CWS,OF,MLB
Luis Morales,ATH,SP,MLB
Kenley Jansen,DET,RP,MLB
Gavin Sheets,SD,1B,MLB
Tommy Edman,LAD,2B,MLB
Trevor Larnach,MIN,OF,MLB
Giancarlo Stanton,NYY,OF,MLB
Austin Wells,NYY,C,MLB
Mike Yastrzemski,ATL,OF,MLB
Ke'Bryan Hayes,CIN,3B,MLB
Randy Vasquez,SD,SP,MLB
Ian Seymour,TB,SP,MLB
Spencer Steer,CIN,1B,MLB
Brayan Rocchio,CLE,2B,MLB
Francisco Alvarez,NYM,C,MLB
Brett Baty,NYM,2B,MLB
Jesus Sanchez,TOR,OF,MLB
Jake Meyers,HOU,OF,MLB
Ryan McMahon,NYY,3B,MLB
Edwin Uceta,TB,RP,MLB
Michael Soroka,ARI,SP,MLB
Seranthony Dominguez,CWS,RP,MLB
Isaac Collins,KC,OF,MLB
Bo Naylor,CLE,C,MLB
Connor Norby,MIA,3B,MLB
Samuel Basallo,BAL,C,MLB
Luis Gil,NYY,SP,MLB
Lane Thomas,KC,OF,MLB
Dylan Beavers,BAL,OF,MLB
Jacob Latz,TEX,SP,MLB
Lance McCullers Jr.,HOU,SP,MLB
Brady House,WSH,3B,MLB
Zach McKinstry,DET,3B,MLB
Joc Pederson,TEX,DH,MLB
Gavin Lux,TB,2B,MLB
Griffin Canning,SD,SP,MLB
Kumar Rocker,TEX,SP,MLB
Logan O'Hoppe,LAA,C,MLB
Chase Dollander,COL,SP,MLB
German Marquez,SD,SP,MLB
Dominic Canzone,SEA,OF,MLB
Riley O'Brien,STL,RP,MLB
Jake Irvin,WSH,SP,MLB
Pavin Smith,ARI,1B,MLB
Josiah Gray,WSH,SP,MLB
Tyler Stephenson,CIN,C,MLB
Taijuan Walker,PHI,SP,MLB
Tomoyuki Sugano,COL,SP,MLB
Marcelo Mayer,BOS,2B,MLB
Bryan Abreu,HOU,RP,MLB
Victor Vodnik,COL,RP,MLB
Andrew Painter,PHI,SP,MLB
Alek Thomas,ARI,OF,MLB
Clayton Beeter,WSH,RP,MLB
Cam Smith,HOU,OF,MLB
Tyler O'Neill,BAL,OF,MLB
Richard Fitts,STL,SP,MLB
Justin Steele,CHC,SP,MLB
Kyle Isbel,KC,OF,MLB
Luis Rengifo,MIL,2B,MLB
Christian Moore,LAA,2B,MLB
Patrick Bailey,SF,C,MLB
Garrett Cleavinger,TB,RP,MLB
Owen Caissie,MIA,OF,MLB
Mick Abel,MIN,SP,MLB
Dillon Dingler,DET,C,MLB
Gabriel Arias,CLE,2B,MLB
Robert Suarez,ATL,RP,MLB
JoJo Romero,STL,RP,MLB
Carter Jensen,KC,C,MLB
Jeremiah Estrada,SD,RP,MLB
CJ Kayfus,CLE,1B,MLB
Edgar Quero,CWS,C,MLB
Bryce Eldridge,SF,1B,MLB
Lenyn Sosa,CWS,1B,MLB
Carlos Narvaez,BOS,C,MLB
Jake McCarthy,COL,OF,MLB
Tyler Freeman,COL,2B,MLB
Carson Williams,TB,SS,MLB
Taylor Rogers,MIN,RP,MLB
Erick Fedde,CWS,SP,MLB
Kevin Ginkel,ARI,RP,MLB
Jose Caballero,NYY,2B,MLB
Ha-Seong Kim,ATL,2B,MLB
Lourdes Gurriel Jr.,ARI,OF,MLB
Nick Gonzales,PIT,2B,MLB
Edouard Julien,COL,1B,MLB
Will Vest,DET,RP,MLB
Luisangel Acuna,CWS,2B,MLB
Brooks Baldwin,CWS,2B,MLB
Garrett Whitlock,BOS,RP,MLB
Adrian Morejon,SD,RP,MLB
Spencer Arrighetti,HOU,SP,MLB
Luke Weaver,NYM,RP,MLB
Robert Stephenson,LAA,RP,MLB
Hunter Barco,PIT,SP,MLB
Jake Fraley,TB,OF,MLB
Miguel Andujar,SD,3B,MLB
Janson Junk,MIA,SP,MLB
Yoan Moncada,LAA,3B,MLB
Carson Kelly,CHC,C,MLB
Jose A. Ferrer,SEA,RP,MLB
Freddy Fermin,SD,C,MLB
Kutter Crawford,BOS,SP,MLB
Andrew Kittredge,BAL,RP,MLB
Phil Maton,CHC,RP,MLB
Justin Sterner,ATH,RP,MLB
Victor Robles,SEA,OF,MLB
George Valera,CLE,OF,MLB
Ryan Feltner,COL,SP,MLB
Tanner Scott,LAD,RP,MLB
Hunter Dobbins,STL,SP,MLB
Hogan Harris,ATH,RP,MLB
Alek Manoah,LAA,SP,MLB
Camilo Doval,NYY,RP,MLB
Robert Gasser,MIL,SP,MLB
Paul Goldschmidt,NYY,1B,MLB
Garrett Mitchell,MIL,OF,MLB
Christopher Morel,MIA,OF,MLB
Jordan Lawlar,ARI,3B,MLB
Zach Cole,HOU,OF,MLB
Cole Young,SEA,2B,MLB
Mike Vasil,CWS,SP,MLB
Nick Castellanos,SD,OF,MLB
Kyle Harrison,MIL,SP,MLB
Carlos Santana,ARI,1B,MLB
Matt Brash,SEA,RP,MLB
Caden Dana,LAA,SP,MLB
Nathan Lukes,TOR,OF,MLB
Kirby Yates,LAA,RP,MLB
Denzel Clarke,ATH,OF,MLB
JP Sears,SD,SP,MLB
Cole Sands,MIN,SP,MLB
Tony Santillan,CIN,RP,MLB
Jonathan Cannon,CWS,SP,MLB
Jordan Leasure,CWS,RP,MLB
Moises Ballesteros,CHC,C,MLB
Shawn Armstrong,CLE,RP,MLB
Mark Leiter Jr.,ATH,RP,MLB
Davis Schneider,TOR,2B,MLB
Matt Strahm,KC,RP,MLB
Alex Vesia,LAD,RP,MLB
Victor Caratini,MIN,C,MLB
Ryan Weiss,HOU,SP,MLB
Joe Boyle,TB,SP,MLB
Cole Henry,WSH,RP,MLB
Louis Varland,TOR,RP,MLB
Dylan Lee,ATL,RP,MLB
Heriberto Hernandez,MIA,OF,MLB
JJ Bleday,CIN,OF,MLB
Fernando Cruz,NYY,RP,MLB
Jimmy Herget,COL,RP,MLB
Austin Martin,MIN,2B,MLB
Hunter Gaddis,CLE,RP,MLB
Matt Svanson,STL,RP,MLB
Bryan Baker,TB,RP,MLB
Jared Koenig,MIL,RP,MLB
Luis Medina,ATH,SP,MLB
Tyler Holton,DET,SP,MLB
Calvin Faucher,MIA,RP,MLB
Justin Topa,MIN,RP,MLB
Keegan Akin,BAL,SP,MLB
Tyler Rogers,TOR,RP,MLB
Orion Kerkering,PHI,RP,MLB
Jose Alvarado,PHI,RP,MLB
Colin Rea,CHC,SP,MLB
Jose Urquidy,PIT,RP,MLB
Jake Bauers,MIL,1B,MLB
Aaron Ashby,MIL,RP,MLB
Troy Melton,DET,SP,MLB
Nasim Nunez,WSH,2B,MLB
Sean Murphy,ATL,C,MLB
Caleb Thielbar,CHC,RP,MLB
Bryan King,HOU,RP,MLB
Kyle Finnegan,DET,RP,MLB
Eduard Bazardo,SEA,RP,MLB
Danny Jansen,TEX,C,MLB
Lucas Erceg,KC,RP,MLB
Andrew Alvarez,WSH,SP,MLB
Gregory Soto,PIT,RP,MLB
Keibert Ruiz,WSH,C,MLB
Taylor Walls,TB,SS,MLB
Brad Keller,PHI,RP,MLB
Yimi Garcia,TOR,RP,MLB
Steven Okert,HOU,RP,MLB
Carmen Mlodzinski,PIT,SP,MLB
Ryan Thompson,ARI,RP,MLB
Kody Funderburk,MIN,RP,MLB
Graham Ashcraft,CIN,RP,MLB
Patrick Sandoval,BOS,SP,MLB
Tyler Wells,BAL,SP,MLB
Mauricio Dubon,ATL,2B,MLB
Jacob Young,WSH,OF,MLB
Max Muncy,ATH,2B,MLB
Juan Mejia,COL,RP,MLB
Gabe Speier,SEA,RP,MLB
Romy Gonzalez,BOS,1B,MLB
Javier Baez,DET,2B,MLB
Matt Shaw,CHC,3B,MLB
Jakob Junis,TEX,RP,MLB
Griffin Conine,MIA,OF,MLB
Paul Sewald,ARI,RP,MLB
Elvis Alvarado,ATH,RP,MLB
Spencer Bivens,SF,RP,MLB
Jake Mangum,PIT,OF,MLB
Erik Miller,SF,RP,MLB
Blake Treinen,LAD,RP,MLB
Ryan Zeferjahn,LAA,RP,MLB
Drew Anderson,DET,RP,MLB
Sean Newcomb,CWS,SP,MLB
Mason Montgomery,PIT,RP,MLB
Pedro Pages,STL,C,MLB
Isaac Mattson,PIT,RP,MLB
David Festa,MIN,SP,MLB
Cole Winn,TEX,RP,MLB
Brandon Sproat,MIL,SP,MLB
Greg Weissert,BOS,RP,MLB
Seth Halvorsen,COL,RP,MLB
Rhett Lowder,CIN,SP,MLB
Michael Massey,KC,2B,MLB
Hunter Harvey,CHC,RP,MLB
Drew Pomeranz,LAA,SP,MLB
Tyler Phillips,MIA,RP,MLB
Tyler Kinley,ATL,RP,MLB
Jose Butto,SF,SP,MLB
Stephen Kolek,KC,SP,MLB
Erik Sabrowski,CLE,RP,MLB
Chris Martin,TEX,RP,MLB
Pierce Johnson,CIN,RP,MLB
John Schreiber,KC,RP,MLB
Aaron Bummer,ATL,RP,MLB
PJ Poulin,WSH,RP,MLB
Graham Pauley,MIA,3B,MLB
Tobias Myers,NYM,SP,MLB
A.J. Minter,NYM,RP,MLB
Eric Lauer,TOR,SP,MLB
Brooks Raley,NYM,RP,MLB
Anthony Bender,MIA,RP,MLB
Cody Bradford,TEX,SP,MLB
Tanner Banks,PHI,RP,MLB
Kody Clemens,MIN,1B,MLB
Brock Burke,CIN,RP,MLB
Justin Slaten,BOS,RP,MLB
Paul Blackburn,NYY,SP,MLB
Angel Zerpa,MIL,RP,MLB
Tyler Alexander,TEX,SP,MLB
Ryne Stanek,STL,RP,MLB
Jonny DeLuca,TB,OF,MLB
Jordan Romano,LAA,RP,MLB
David Morgan,SD,RP,MLB
Joey Loperfido,HOU,OF,MLB
Jason Adam,SD,RP,MLB
Joey Bart,PIT,C,MLB
Liam Hicks,MIA,C,MLB
Vaughn Grissom,LAA,2B,MLB
Hoby Milner,CHC,RP,MLB
Ben Joyce,LAA,RP,MLB
Mason Englert,TB,RP,MLB
Sung-Mun Song,SD,2B,MLB
Julian Fernandez,WSH,RP,MLB
Yennier Cano,BAL,RP,MLB
Matt Festa,CLE,RP,MLB
Joel Peguero,SF,RP,MLB
Enyel De Los Santos,HOU,RP,MLB
Michael Kelly,ATH,RP,MLB
Scott Barlow,ATH,RP,MLB
J.T. Ginn,ATH,SP,MLB
Nick Mears,KC,RP,MLB
Emerson Hancock,SEA,SP,MLB
Tyrone Taylor,NYM,OF,MLB
Ryan Yarbrough,NYY,SP,MLB
Blaze Alexander,BAL,2B,MLB
Anthony Banda,MIN,RP,MLB
Kade Strowd,ARI,RP,MLB
Tommy Nance,TOR,RP,MLB
Ezequiel Duran,TEX,1B,MLB
Tim Hill,NYY,RP,MLB
Andrew Nardi,MIA,RP,MLB
Drey Jameson,ARI,RP,MLB
Ben Brown,CHC,SP,MLB
Luke Raley,SEA,1B,MLB
Brandon Eisert,CWS,SP,MLB
Angel Martinez,CLE,2B,MLB
Justin Lawrence,PIT,RP,MLB
Bailey Falter,KC,SP,MLB
Brendon Little,TOR,RP,MLB
Payton Tolle,BOS,SP,MLB
Javier Assad,CHC,SP,MLB
Wandy Peralta,SD,RP,MLB
Grant Anderson,MIL,RP,MLB
Alexis Diaz,TEX,RP,MLB
Dietrich Enns,BAL,SP,MLB
Luis Campusano,SD,C,MLB
Troy Johnston,COL,1B,MLB
Henry Davis,PIT,C,MLB
Nick Fortes,TB,C,MLB
Cade Gibson,MIA,RP,MLB
Brent Suter,LAA,SP,MLB
Jake Bird,NYY,RP,MLB
Thomas Saggese,STL,2B,MLB
Caleb Ferguson,CIN,RP,MLB
Connelly Early,BOS,SP,MLB
Jordan Hicks,CWS,SP,MLB
Braydon Fisher,TOR,RP,MLB
Jack Dreyer,LAD,SP,MLB
Colby Thomas,ATH,OF,MLB
Miguel Amaya,CHC,C,MLB
Luis Garcia,NYM,RP,MLB
Kyle Higashioka,TEX,C,MLB
Jasson Dominguez,NYY,OF,MLB
Brant Hurter,DET,SP,MLB
Will Benson,CIN,OF,MLB
Trevor McDonald,SF,SP,MLB
Bennett Sousa,HOU,RP,MLB
Ramon Urias,STL,2B,MLB
Yuki Matsui,SD,RP,MLB
Harry Ford,WSH,C,MLB
Jackson Rutledge,WSH,SP,MLB
Eric Orze,MIN,RP,MLB
Andres Chaparro,WSH,1B,MLB
Keider Montero,DET,SP,MLB
Jose Tena,WSH,2B,MLB
Brenan Hanifee,DET,RP,MLB
Ben Casparius,LAD,SP,MLB
Tyler Austin,CHC,1B,MLB
Edmundo Sosa,PHI,2B,MLB
Gordon Graceffo,STL,RP,MLB
Jovani Moran,BOS,RP,MLB
Daniel Lynch,KC,RP,MLB
Jonathan Bowlan,PHI,RP,MLB
Travis Adams,MIN,SP,MLB
Connor Phillips,CIN,RP,MLB
Tim Herrin,CLE,RP,MLB
Yohan Ramirez,PIT,RP,MLB
Otto Kemp,PHI,1B,MLB
Hayden Birdsong,SF,SP,MLB
Brennan Bernardino,COL,SP,MLB
Zack Kelly,BOS,SP,MLB
Taylor Clarke,ARI,RP,MLB
Jhostynxon Garcia,PIT,OF,MLB
Huascar Brazoban,NYM,SP,MLB
Javier Sanoja,MIA,2B,MLB
Rob Refsnyder,SEA,OF,MLB
Connor Prielipp,MIN,SP,MLB
Jacob Webb,CHC,RP,MLB
Carlos Vargas,SEA,RP,MLB
Mitchell Parker,WSH,SP,MLB
Matt Vierling,DET,OF,MLB
DL Hall,MIL,SP,MLB
Joel Payamps,ATL,RP,MLB
Ryan Bergert,KC,SP,MLB
David Hamilton,MIL,2B,MLB
Justin Wrobleski,LAD,RP,MLB
Casey Legumina,SEA,RP,MLB
Lake Bachar,MIA,RP,MLB
Antonio Senzatela,COL,SP,MLB
Jose Fermin,LAA,RP,MLB
Porter Hodge,CHC,RP,MLB
Dane Myers,CIN,OF,MLB
Jose Trevino,CIN,C,MLB
Rico Garcia,BAL,RP,MLB
Cole Sulser,TB,RP,MLB
Ian Hamilton,ATL,RP,MLB
Jose Fermin,STL,2B,MLB
Jeremiah Jackson,BAL,3B,MLB
